CONTRACT_NC_ID	CONTRACT_EXPECTED_CODE	CATALOG_ID(s)	CATALOG_OBSERVED_CODE	IMPLEMENTATION_SUBCODE_TO_CONTRACT_CODE	COVERAGE	METHOD_OR_NOTE
NC01	FAIL_SOURCE_PIN			FAIL_PIN_MISMATCH -> FAIL_SOURCE_PIN	COVERED	frozen exact checker-source pin predicate executed dynamically; receipt F_LAMBDA_NC01_SOURCE_PIN_GATE_RUN_V1.json sha256=a428ef0421d262542fde9faf8b42bdbde37c8fd144a1675c48b7b9dce4ae9a1a commit=174c282431b7792326db9092e88ccb75e4922648; execution_head=5b6ac3462bcebc86e1c630e6c3271b54e7b9f162; canonical tracked PIN_FILE mutation not claimed
NC02	FAIL_FORMULA_ID			FAIL_ORDINARY_FORMULA_RUNTIME_ID;FAIL_DUFFY_FORMULA_RUNTIME_ID -> FAIL_FORMULA_ID	COVERED	two frozen exact subcases executed; ordinary receipt F_LAMBDA_NC02A_ORDINARY_FORMULA_RUNTIME_ID_GATE_RUN_V1.json sha256=3830256dbc9fc80525c86ea41e3424dc6a07ff0b75d770a24703e942de077683 commit=30becaa47daa83e16718733dde6219b700bffc58; duffy receipt F_LAMBDA_NC02B_DUFFY_FORMULA_RUNTIME_ID_GATE_RUN_V1.json sha256=e9a956fad959683ca92d68b6949a1ca38e579471401b8cff786438a7c63b9064 commit=9cdc003e9a39ae780fe3e49a4bdbb7863cb416d7; V1.5 ID_PIN mapping normalized to frozen RUNTIME_ID subcodes
NC03	FAIL_ROUTE_QUANTITY_CLASS			FAIL_FLAMBDA_QUANTITY -> FAIL_ROUTE_QUANTITY_CLASS	COVERED	frozen exact subcase selected by canonical classification; receipt F_LAMBDA_NC03_QUANTITY_GATE_RUN_V1.json sha256=0f86cc6952ab6bcefbe6c528948aed562eb8be0f67ba49f995fffc054de7b526 commit=82c5a1cf0b0568eee2c204d6ef4e3e405c320321
NC04	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	CANONICAL_V1_NC04	FAIL_TUBE_GEOMETRY_RECONSTRUCTION	identity	COVERED	
NC05	FAIL_LAMBDA_COVER	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_LAMBDA_COVER (scope differs)	PARTIAL	dedicated gap control required
NC06	FAIL_LAMBDA_COVER	CANONICAL_V1_NC19	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION -> FAIL_LAMBDA_COVER (scope differs)	PARTIAL	dedicated overlap control required
NC07	FAIL_LAMBDA_TILING			FAIL_TILE_WIDTH/FAIL_PARENT_WIDTH candidates -> FAIL_LAMBDA_TILING	COVERED	 promoted from MISSING by dedicated exact gate receipt evidence: F_LAMBDA_NC07_CELL_COUNT_GATE_RUN_V1.json sha256=7e2c9bb2046395fa420c9dc31b5b4176e82251f08847d0f33475b440ec897b38 commit=7250e5901d2c7a8b5641d4c6a27ca15d33148a2e
NC08	FAIL_WRONG_ANCHOR_ENDPOINT			FAIL_ANCHOR_SIDE_DERIVATION -> FAIL_WRONG_ANCHOR_ENDPOINT	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC08_ANCHOR_SIDE_RHI_GATE_RUN_V1.json
NC09	FAIL_WRONG_ANCHOR_ENDPOINT			FAIL_ANCHOR_SIDE_DERIVATION -> FAIL_WRONG_ANCHOR_ENDPOINT	COVERED	 promoted from MISSING by dedicated receipt evidence: F_LAMBDA_NC09_ANCHOR_SIDE_RLO_GATE_RUN_V1.json
NC10	FAIL_SIGN	REPLAY_NC10_WRONG_SIGN_REQUEST	FAIL_SIGN_CONTRACT	FAIL_SIGN_CONTRACT -> FAIL_SIGN	COVERED	gate-unit sub-code mapping predeclared before execution; native route compares required_sign contract against the F_lambda sign route; request-side FAIL_SIGN_CONTRACT is kept distinct from checker result-side FAIL_FLAMBDA_SIGN; checker upstream contract wrapper is FAIL_FLAMBDA_CONTRACT execution evidence: receipt F_LAMBDA_NC10_SIGN_GATE_RUN_V1.json sha256=dfcf30196b0fb5cf08b4471ba37b4f86b6fbf32c9b189977b8e9bbf694bc1b88 commit=ee2c0f6b150dd7c0d6da52c76f0aa85d89470f30
