CONTRACT_NC_ID	MUTATION	EXPECTED_IMPLEMENTATION_SUBCODE	CONTRACT_CODE	METHOD	STATUS_OR_NOTE
NC01	mutate producer/checker F_lambda source pin	FAIL_SOURCE_BASELINE_PIN or FAIL_PIN_MISMATCH	FAIL_SOURCE_PIN	PRECHECK_MUTATION	dedicated control required
NC02	mutate ordinary formula ID; separately mutate Duffy formula ID	FAIL_ORDINARY_FORMULA_ID_PIN / FAIL_DUFFY_FORMULA_ID_PIN	FAIL_FORMULA_ID	PRECHECK_MUTATION	two subcases under one contract row
NC03	"submit binding proof object with quantity=""F"" diagnostic route"	FAIL_FLAMBDA_QUANTITY or FAIL_ROUTE_FRAGMENT_QUANTITY	FAIL_ROUTE_QUANTITY_CLASS	RECEIPT_MUTATION	dedicated binding-route quantity-class control
NC05	remove exact rational portion between adjacent lambda cells	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION or FAIL_TILE_GAP_OR_OVERLAP	FAIL_LAMBDA_COVER	RECEIPT_MUTATION	dedicated gap control
NC06	overlap adjacent lambda cell interiors	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION or FAIL_TILE_GAP_OR_OVERLAP	FAIL_LAMBDA_COVER	RECEIPT_MUTATION	dedicated overlap control
NC07	use wrong cell count for supported nominal parent width	FAIL_PARENT_WIDTH / FAIL_TILE_WIDTH / FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_TILING	RECEIPT_MUTATION	freeze one exact emitted subcode after dry precheck
NC08	use right anchor endpoint for NEG transport	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_WRONG_ANCHOR_ENDPOINT	RECEIPT_MUTATION	
NC09	use left anchor endpoint for POS transport	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_WRONG_ANCHOR_ENDPOINT	RECEIPT_MUTATION	
NC10	make/check a cell enclosure with strict positive lo under NEG result contract	FAIL_SIGN or checker-equivalent result-side sign failure	FAIL_SIGN	RECEIPT_MUTATION	keep distinct from REPLAY_NC10_WRONG_SIGN_REQUEST
NC11	make/check a cell enclosure that contains zero so hi<0 is not proved	FAIL_UNRESOLVED or checker-equivalent enclosure failure	FAIL_UNRESOLVED	RECEIPT_MUTATION	
NC12	mutate normalization policy / one_over_pi / bits	FAIL_FLAMBDA_NORMALIZATION_BITS	FAIL_NORMALIZATION_MISMATCH	PRECHECK_MUTATION	
NC13	replace Profile A binding anchor evidence with DIAGNOSTIC_NOT_BINDING artifact	FAIL_ANCHOR_EVIDENCE	FAIL_ANCHOR_EVIDENCE_CLASS	RECEIPT_MUTATION	
NC14	alter pinned Profile A receipt SHA	FAIL_TRANSPORT_RECEIPT_PIN or FAIL_SIGNATURE_RECEIPT_LINK	FAIL_ANCHOR_PIN	RECEIPT_MUTATION	exact subcode to freeze after targeted dry precheck
NC15	mutate anchor enclosure/sign to violate strict expected sign	FAIL_ANCHOR_SIGN_NEG / FAIL_ANCHOR_SIGN_POS / FAIL_ANCHOR_SIGN_CONTRACT	FAIL_ANCHOR_SIGN	RECEIPT_MUTATION	select side-specific subcase(s)
NC16	force F_lambda cell declared call cap exhaustion	FAIL_FLAMBDA_BUDGET	FAIL_BUDGET	NUMERIC_TINY_CAP	numerical control unless receipt mutation chosen
NC17	force Profile B anchor declared cap exhaustion	FAIL_ANCHOR_BUDGET	FAIL_BUDGET	NUMERIC_TINY_CAP	numerical control unless receipt mutation chosen
NC18	mutate aggregate evaluations above predeclared parent cap	FAIL_PARENT_TOTAL_BUDGET or FAIL_CHECKER_PARENT_TOTAL_BUDGET	FAIL_PARENT_BUDGET	RECEIPT_MUTATION	
