CONTROL_ID	NAME	EXACT_IMPLEMENTATION_SUBCODE	CONTRACT_CODE	METHOD	FREEZE_STATUS
NC01	SOURCE_SHA_MISMATCH	FAIL_PIN_MISMATCH	FAIL_SOURCE_PIN	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC02a	FORMULA_ID_MISMATCH_ORDINARY	FAIL_ORDINARY_FORMULA_RUNTIME_ID	FAIL_FORMULA_ID	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC02b	FORMULA_ID_MISMATCH_DUFFY	FAIL_DUFFY_FORMULA_RUNTIME_ID	FAIL_FORMULA_ID	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC03	DIAGNOSTIC_MONKEYPATCH_AS_BINDING	FAIL_FLAMBDA_QUANTITY	FAIL_ROUTE_QUANTITY_CLASS	DRY_PRECHECK	FROZEN_EXACT_SUBCODE
NC05	CELL_GAP	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_COVER	DRY_PRECHECK	PENDING_FREEZE
NC06	CELL_OVERLAP	FAIL_LAMBDA_GEOMETRY_RECONSTRUCTION	FAIL_LAMBDA_COVER	DRY_PRECHECK	PENDING_FREEZE
NC07	WRONG_CELL_COUNT	FAIL_PARENT_WIDTH	FAIL_LAMBDA_TILING	DRY_PRECHECK	PENDING_FREEZE
NC08	WRONG_ANCHOR_ENDPOINT_RHI	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_WRONG_ANCHOR_ENDPOINT	STATIC_SINGLE_CODE	READY
NC09	WRONG_ANCHOR_ENDPOINT_RLO	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_WRONG_ANCHOR_ENDPOINT	STATIC_SINGLE_CODE	READY
NC10	FLAMBDA_STRICT_POS	FAIL_SIGN	FAIL_SIGN	GATE_UNIT_TEST	READY
NC11	FLAMBDA_ZERO_CONTAINING	FAIL_UNRESOLVED	FAIL_UNRESOLVED	GATE_UNIT_TEST	READY
NC12	NORMALIZATION_MUTATION	FAIL_FLAMBDA_NORMALIZATION_BITS	FAIL_NORMALIZATION_MISMATCH	STATIC_SINGLE_CODE	READY
NC13	ANCHOR_DIAGNOSTIC_RECEIPT_AS_PROFILE_A	FAIL_ANCHOR_EVIDENCE	FAIL_ANCHOR_EVIDENCE_CLASS	STATIC_SINGLE_CODE	READY
NC14	ANCHOR_RECEIPT_SHA_MISMATCH	FAIL_TRANSPORT_RECEIPT_PIN	FAIL_ANCHOR_PIN	DRY_PRECHECK	PENDING_FREEZE
NC15a	ANCHOR_WRONG_SIGN_NEG	FAIL_ANCHOR_SIGN_NEG	FAIL_ANCHOR_SIGN	GATE_UNIT_TEST	READY
NC15b	ANCHOR_WRONG_SIGN_POS	FAIL_ANCHOR_SIGN_POS	FAIL_ANCHOR_SIGN	GATE_UNIT_TEST	READY
NC16	CELL_CAP_EXHAUSTION	FAIL_FLAMBDA_BUDGET	FAIL_BUDGET	NUMERIC_TINY_CAP	READY
NC17	ANCHOR_CAP_EXHAUSTION	FAIL_ANCHOR_BUDGET	FAIL_BUDGET	NUMERIC_TINY_CAP	READY
NC18	PARENT_TOTAL_CAP_EXCEEDED	FAIL_PARENT_TOTAL_BUDGET	FAIL_PARENT_BUDGET	DRY_PRECHECK	PENDING_FREEZE
NC19	POST_HOC_CAP_MUTATION	FAIL_CHECKER_FLAMBDA_CAP_PIN	FAIL_BUDGET_CONTRACT_MUTATION	DRY_PRECHECK	PENDING_FREEZE
