CONTROL_ID	CONTRACT_ID	EXPECTED_SPECIFIC_CODE	EXPECTED_UPSTREAM_CODE	SPECIFIC_GATE_KIND	GATE_ASSET_CLASS	GATE_DEFINITION_STATE	REPORT_ONLY_NUMERIC	EXECUTION_STATE
NC02a	NC02	FAIL_ORDINARY_FORMULA_RUNTIME_ID	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC02b	NC02	FAIL_DUFFY_FORMULA_RUNTIME_ID	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC03	NC03	FAIL_FLAMBDA_QUANTITY	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC07	NC07	FAIL_LAMBDA_TILING	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC08	NC08	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC09	NC09	FAIL_ANCHOR_SIDE_DERIVATION	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC10	NC10	FAIL_SIGN	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC11	NC11	FAIL_UNRESOLVED	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC12	NC12	FAIL_FLAMBDA_NORMALIZATION_BITS	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC13	NC13	FAIL_ANCHOR_EVIDENCE	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC14	NC14	FAIL_TRANSPORT_RECEIPT_PIN	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	NO	NOT_EXECUTED
NC15a	NC15	FAIL_ANCHOR_SIGN_NEG	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC15b	NC15	FAIL_ANCHOR_SIGN_POS	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	EXISTING_GATE_UNIT	DEFINED_NOT_EXECUTED	NO	NOT_EXECUTED
NC16	NC16	FAIL_FLAMBDA_BUDGET	FAIL_POST_BASELINE_FILE_SET	GATE_UNIT	NEW_GATE_UNIT_REQUIRED	NOT_DEFINED	PLANNED	NOT_EXECUTED
